ticker,entry_price,entry_time,exit_price,exit_time,result,pnl
WELINV.NS,1021.0999755859375,2025-10-01 12:14:00+05:30,1035.3048561360624,2025-10-01 15:14:00+05:30,stop_loss,-14.204880550124926
NAVNETEDUL.NS,152.58999633789062,2025-10-01 09:16:00+05:30,154.99873187493623,2025-10-01 12:31:00+05:30,stop_loss,-2.408735537045601
JUBLFOOD.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
APTECHT.NS,120.26000213623047,2025-10-01 09:15:00+05:30,120.69999694824219,2025-10-01 15:12:00+05:30,timeout,-0.43999481201171875
GRSE.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
WEBELSOLAR.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
HEUBACHIND.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
MICEL.NS,57.2599983215332,2025-10-01 09:17:00+05:30,58.219159442373055,2025-10-01 14:42:00+05:30,stop_loss,-0.9591611208398518
TATACHEM.NS,918.75,2025-10-01 09:16:00+05:30,917.0,2025-10-01 15:15:00+05:30,timeout,-1.75
EMIL.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
SUNFLAG.NS,262.79998779296875,2025-10-01 09:16:00+05:30,266.80941085594327,2025-10-01 15:16:00+05:30,stop_loss,-4.00942306297452
LODHA.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
YESBANK.NS,21.270000457763672,2025-10-01 09:15:00+05:30,21.492492986799476,2025-10-01 12:35:00+05:30,stop_loss,-0.2224925290358044
AFSL.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
SYNGENE.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
CDSL.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
LGBBROSLTD.NS,1373.199951171875,2025-10-01 09:15:00+05:30,1387.5182449287745,2025-10-01 10:15:00+05:30,stop_loss,-14.318293756899493
ELIN.NS,202.0,2025-10-01 09:15:00+05:30,205.59871847061285,2025-10-01 09:54:00+05:30,stop_loss,-3.5987184706128517
FINPIPE.NS,200.1999969482422,2025-10-01 09:15:00+05:30,202.5991363997293,2025-10-01 09:49:00+05:30,stop_loss,-2.399139451487116
DWARKESH.NS,41.0099983215332,2025-10-01 09:15:00+05:30,41.6587774666638,2025-10-01 15:08:00+05:30,stop_loss,-0.6487791451305966
NILAINFRA.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
SAREGAMA.NS,468.25,2025-10-01 09:18:00+05:30,473.4475568268374,2025-10-01 10:42:00+05:30,stop_loss,-5.197556826837399
IEX.NS,139.41000366210938,2025-10-01 09:16:00+05:30,140.83497023870433,2025-10-01 11:59:00+05:30,stop_loss,-1.4249665765949544
SOMATEX.NS,73.0,2025-10-01 09:22:00+05:30,75.66323198632067,2025-10-01 09:33:00+05:30,stop_loss,-2.6632319863206675
INFIBEAM.NS,16.149999618530273,2025-10-01 09:16:00+05:30,16.492007633442658,2025-10-01 10:36:00+05:30,stop_loss,-0.3420080149123841
PCBL.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
UNITEDPOLY.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
BEDMUTHA.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
AKSHAR.NS,0.5899999737739563,2025-10-01 09:17:00+05:30,0.5997629672686511,2025-10-01 13:13:00+05:30,stop_loss,-0.009762993494694783
DCMSRIND.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
RGL.NS,114.30000305175781,2025-10-01 09:16:00+05:30,116.29861169005125,2025-10-01 09:21:00+05:30,stop_loss,-1.9986086382934332
SIRCA.NS,476.29998779296875,2025-10-01 09:16:00+05:30,482.0859211995335,2025-10-01 11:44:00+05:30,stop_loss,-5.785933406564766
AYMSYNTEX.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
GPTINFRA.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
