ticker,entry_price,entry_time,exit_price,exit_time,result,pnl
ETHOSLTD.NS,Unable to fetch data(error),Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
DBSTOCKBRO.NS,25.649999618530273,2025-09-26 09:15:00+05:30,25.93390810583348,2025-09-26 09:17:00+05:30,stop_loss,-0.28390848730320783
DELTAMAGNT.NS,86.4000015258789,2025-09-26 09:21:00+05:30,82.9800033569336,2025-09-26 13:13:00+05:30,timeout,3.4199981689453125
HEUBACHIND.NS,593.0499877929688,2025-09-26 09:25:00+05:30,592.8499755859375,2025-09-26 14:54:00+05:30,timeout,0.20001220703125
LATENTVIEW.NS,407.79998779296875,2025-09-26 09:15:00+05:30,406.6499938964844,2025-09-26 15:15:00+05:30,timeout,1.149993896484375
DISHTV.NS,5.159999847412109,2025-09-26 09:15:00+05:30,5.090000152587891,2025-09-26 15:15:00+05:30,timeout,0.06999969482421875
DHARMAJ.NS,322.95001220703125,2025-09-26 09:16:00+05:30,317.4884051405891,2025-09-26 10:07:00+05:30,target,5.461607066442127
BLUECOAST.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
DCMNVL.NS,164.00999450683594,2025-09-26 09:28:00+05:30,165.0,2025-09-26 14:48:00+05:30,timeout,-0.9900054931640625
BLAL.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
JETFREIGHT.NS,13.100000381469727,2025-09-26 09:15:00+05:30,12.930000305175781,2025-09-26 14:14:00+05:30,timeout,0.1700000762939453
ATULAUTO.NS,491.5,2025-09-26 09:19:00+05:30,480.7213205513051,2025-09-26 13:53:00+05:30,stop_loss,-10.778679448694902
ANIKINDS.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
ACMESOLAR.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
APLLTD.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
ARCHIDPLY.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
LIBAS.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
EIHOTEL.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
KALYANIFRG.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
HATHWAY.NS,14.3100004196167,2025-09-26 09:15:00+05:30,14.180000305175781,2025-09-26 15:15:00+05:30,timeout,0.13000011444091797
BAJAJFINSV.NS,2039.0,2025-09-26 09:15:00+05:30,2006.5734626556184,2025-09-26 11:32:00+05:30,stop_loss,-32.426537344381586
ARTEMISMED.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
BRIGADE.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
KIRLOSBROS.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
ANSALAPI.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
JKPAPER.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
ANGELONE.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
JYOTICNC.NS,887.0999755859375,2025-09-26 09:15:00+05:30,868.7000122070312,2025-09-26 15:15:00+05:30,timeout,18.39996337890625
KPIGREEN.NS,471.3999938964844,2025-09-26 09:15:00+05:30,447.54998779296875,2025-09-26 15:15:00+05:30,timeout,23.850006103515625
IDFCFIRSTB.NS,69.83000183105469,2025-09-26 09:15:00+05:30,68.66000366210938,2025-09-26 15:15:00+05:30,timeout,-1.1699981689453125
LLOYDSME.NS,Trade not executed,Trade not executed,Trade not executed,Trade not executed,Trade not executed,0.0
