Ticker,Type,Probability,Predicted Change,Predicted Variance,Confidence,Current Price,Target Price,SL Price,AIC Score
HISAR METAL INDUSTRIES LIMITED (XNSE:HISARMETAL),Short,0.438961821,2.351647904,5.530247862,High,181.2799988,177.0169315,183.8378392,4172.17782
VA TECH WABAG LIMITED (XNSE:WABAG),Short,0.455188396,2.428510016,5.8976609,High,1451.599976,1416.347725,1472.751326,4120.822085
OIL COUNTRY TUBULAR LIMITED (XNSE:OILCOUNTUB),Long,0.510489277,2.800765151,7.844285429,Low,68.41999817,70.33628163,67.27022809,4291.023496
PLAZA WIRES LIMITED (XNSE:PLAZACABLE),Short,0.447418143,84.73228069,7179.559391,Low,55.04000092,8.403352849,83.02198976,440.4964226
ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED (XNSE:ANSALAPI),Short,0.399012084,1.513338668,2.290193923,Very High,4.630000114,4.559932532,4.672040664,3593.892628
AVANTI FEEDS LIMITED (XNSE:AVANTIFEED),Short,0.470702533,3.45957707,11.9686735,Medium,646.4500122,624.0855758,659.868674,3734.79119
GRP LIMITED (XNSE:GRPLTD),Short,0.465527132,3.714047278,13.79414718,Medium,2160.699951,2080.450533,2208.849602,4277.366095
UFLEX LIMITED (XNSE:UFLEX),Short,0.436220362,1.567788925,2.457962112,High,541.4500122,532.9612189,546.5432882,3590.370729
RUBFILA INTERNATIONAL LTD (XNSE:RUBFILA),,,,,,,,,
OSWAL AGRO MILLS LIMITED (XNSE:OSWALAGRO),Short,0.393202118,2.564536631,6.57684813,Very High,71.59999847,69.76379029,72.70172339,4480.711696
KALYAN JEWELLERS INDIA LIMITED (XNSE:KALYANKJIL),Long,0.510553923,2.891696289,8.361907426,Low,455.7999878,468.9803391,447.891777,3634.424708
KRITI NUTRIENTS LIMITED (XNSE:KRITINUT),Short,0.436892686,2.247384875,5.050738776,High,92.33000183,90.25499133,93.57500813,1873.164356
RAJESH EXPORTS LIMITED (XNSE:RAJESHEXPO),Short,0.457289276,2.605701637,6.789681023,High,182.6100006,177.8517288,185.4649637,3900.839175
DR.REDDY'S LABORATORIES LTD (XNSE:DRREDDY),Short,0.482126379,1.279611976,1.63740681,,,,,
KNOWLEDGE MARINE & ENGINEERING WORKS LIMITED (XNSE:KMEW),,,,,,,,,
KEI INDUSTRIES LIMITED (XNSE:KEI),Short,0.476915942,2.1114808,4.45835117,Medium,4049.300049,3963.799856,4100.600165,3911.228097
ZYDUS WELLNESS LIMITED (XNSE:ZYDUSWELL),Short,0.478920087,2.261243351,5.113221494,Medium,482.2999878,471.3940114,488.8435736,3216.492232
VISHWARAJ SUGAR INDUSTRIES LIMITED (XNSE:VISHWARAJ),Short,0.424546106,2.491477634,6.207460801,Low,7.96999979,7.771429028,8.089142248,3747.942209
SHIVALIK BIMETAL CONTROLS LTD (XNSE:SBCL),Short,0.438548561,2.371988693,5.626330358,High,537.7000122,524.9458287,545.3525223,3189.437199
GODREJ INDUSTRIES LIMITED (XNSE:GODREJIND),Short,0.434394289,2.207393763,4.872587226,High,1195,1168.621645,1210.827013,3559.536376
STRIDES PHARMA SCIENCE LIMITED (XNSE:STAR),Short,0.459526515,2.596614376,6.742406217,High,815.5,794.3246098,828.2052341,4139.281008
ARCHIES LIMITED (XNSE:ARCHIES),Short,0.409257157,3.695482798,13.65659311,High,20.48999977,19.73279535,20.94432242,4289.565381
COLGATE-PALMOLIVE (INDIA) LIMITED (XNSE:COLPAL),Short,0.437167968,1.590230089,2.528831737,High,2224.300049,2188.92856,2245.522942,2972.406068
VISHNU PRAKASH R PUNGLIA LIMITED (XNSE:VPRPL),Short,0.416117146,6.06E-70,3.67E-139,,,,,
EVEREADY INDUSTRIES INDIA LTD (XNSE:EVEREADY),Short,0.457409262,2.91092965,8.473511425,High,389.3500061,378.0163013,396.150229,3584.113113
GVK POWER & INFRASTRUCTURE LIMITED (XNSE:GVKPIL),Short,0.373753728,2.162113248,4.674733698,Very High,3.609999895,3.531947609,3.656831267,3663.082914
